image,score,confidence,reason
2026-03-10/2026-03-10_0959.jpg,42.30,0.6970,illegal_1
2026-03-03/2026-03-03_1014.jpg,44.28,0.6972,illegal_2
2026-03-03/2026-03-03_1044.jpg,44.28,0.6972,illegal_2
2026-03-05/2026-03-05_1432.jpg,46.25,0.6975,illegal_3
2026-03-25/2026-03-25_1103.jpg,44.22,0.6978,illegal_2
2026-03-26/2026-03-26_1212.jpg,44.13,0.6987,illegal_2
2026-03-24/2026-03-24_0948.jpg,44.09,0.6991,illegal_2
2026-03-18/2026-03-18_1025.jpg,42.09,0.6991,illegal_1
2026-03-04/2026-03-04_0921.jpg,30.09,0.6991,low_confidence
2026-03-18/2026-03-18_1856.jpg,30.09,0.6991,low_confidence
2026-03-26/2026-03-26_1052.jpg,44.08,0.6992,illegal_2
2026-03-10/2026-03-10_1129.jpg,42.06,0.6994,illegal_1
2026-03-10/2026-03-10_1039.jpg,44.04,0.6996,illegal_2
2026-03-26/2026-03-26_1132.jpg,44.04,0.6996,illegal_2
2026-03-19/2026-03-19_0933.jpg,30.04,0.6996,low_confidence
2026-03-26/2026-03-26_1202.jpg,44.00,0.7000,illegal_2
2026-03-09/2026-03-09_1219.jpg,49.99,0.7001,illegal_5
2026-03-05/2026-03-05_1422.jpg,45.98,0.7002,illegal_3
2026-03-05/2026-03-05_0942.jpg,43.95,0.7005,illegal_2
2026-03-26/2026-03-26_1312.jpg,43.92,0.7008,illegal_2
2026-03-19/2026-03-19_1423.jpg,45.91,0.7009,illegal_3
2026-03-11/2026-03-11_1122.jpg,43.90,0.7010,illegal_2
2026-03-10/2026-03-10_0919.jpg,29.90,0.7010,low_confidence
2026-03-10/2026-03-10_0939.jpg,29.89,0.7011,low_confidence
2026-02-27/2026-02-27_1041.jpg,29.88,0.7012,low_confidence
2026-03-09/2026-03-09_1209.jpg,49.87,0.7013,illegal_6
2026-03-02/2026-03-02_1002.jpg,43.86,0.7014,illegal_2
2026-03-06/2026-03-06_0923.jpg,29.86,0.7014,low_confidence
2026-03-06/2026-03-06_1123.jpg,29.80,0.7020,low_confidence
2026-03-09/2026-03-09_0949.jpg,45.77,0.7023,illegal_3
2026-03-19/2026-03-19_1143.jpg,43.76,0.7024,illegal_2
2026-03-26/2026-03-26_1322.jpg,43.74,0.7026,illegal_2
2026-03-11/2026-03-11_1142.jpg,41.73,0.7027,illegal_1
2026-03-02/2026-03-02_1212.jpg,47.70,0.7030,illegal_4
2026-03-24/2026-03-24_1048.jpg,45.68,0.7032,illegal_3
