timestamp,image,total_cars,cars_in_forbidden,cars_legal,line_delta_dx,line_delta_dy,alignment_source,alignment_confidence,uncertain
2026-04-16 01:38:24,TEST/2026-02-24 09_35_23.jpg,36,2,34,0.0,0.0,disabled,0.9158,0
2026-04-16 01:38:25,TEST/2026-02-24 09_45_23.jpg,37,2,35,0.0,0.0,disabled,0.9150,0
2026-04-16 01:38:25,TEST/2026-02-24 09_55_23.jpg,36,1,35,0.0,0.0,disabled,0.9128,0
2026-04-16 01:38:25,TEST/2026-02-24 10_05_24.jpg,38,3,35,0.0,0.0,disabled,0.9127,0
2026-04-16 01:38:25,TEST/2026-02-24 10_15_24.jpg,36,2,34,0.0,0.0,disabled,0.9059,0
2026-04-16 01:38:26,TEST/2026-02-24 10_25_24.jpg,37,1,36,0.0,0.0,disabled,0.9065,0
2026-04-16 01:38:26,TEST/2026-02-24 10_35_24.jpg,40,2,38,0.0,0.0,disabled,0.9033,0
2026-04-16 01:38:26,TEST/2026-02-24 10_45_25.jpg,38,3,35,0.0,0.0,disabled,0.9088,0
2026-04-16 01:38:26,TEST/2026-02-24 10_55_25.jpg,38,2,36,0.0,0.0,disabled,0.9067,0
2026-04-16 01:38:26,TEST/2026-02-24 11_05_25.jpg,35,1,34,0.0,0.0,disabled,0.9074,0
2026-04-16 01:38:27,TEST/2026-02-24 11_15_26.jpg,33,0,33,0.0,0.0,disabled,0.9184,0
2026-04-16 01:38:27,TEST/2026-02-24 11_25_26.jpg,34,0,34,0.0,0.0,disabled,0.9130,0
2026-04-16 01:38:27,TEST/2026-02-24 11_35_26.jpg,33,0,33,0.0,0.0,disabled,0.9140,0
2026-04-16 01:38:27,TEST/2026-02-24 11_45_26.jpg,33,1,32,0.0,0.0,disabled,0.9126,0
2026-04-16 01:38:27,TEST/2026-02-24 11_55_27.jpg,33,0,33,0.0,0.0,disabled,0.9102,0
2026-04-16 01:38:28,TEST/2026-02-24 12_05_27.jpg,34,1,33,0.0,0.0,disabled,0.9145,0
2026-04-16 01:38:28,TEST/2026-02-24 12_15_27.jpg,36,1,35,0.0,0.0,disabled,0.9083,0
2026-04-16 01:38:28,TEST/2026-02-24 12_25_28.jpg,36,1,35,0.0,0.0,disabled,0.9097,0
2026-04-16 01:38:28,TEST/2026-02-24 12_35_28.jpg,35,1,34,0.0,0.0,disabled,0.9083,0
2026-04-16 01:38:29,TEST/2026-02-24 12_45_28.jpg,35,2,33,0.0,0.0,disabled,0.9153,0
2026-04-16 01:38:29,TEST/2026-02-24 12_55_28.jpg,34,2,32,0.0,0.0,disabled,0.9198,0
2026-04-16 01:38:29,TEST/2026-02-24 13_05_29.jpg,36,2,34,0.0,0.0,disabled,0.9123,0
2026-04-16 01:38:29,TEST/2026-02-24 13_15_29.jpg,36,2,34,0.0,0.0,disabled,0.9226,0
2026-04-16 01:38:29,TEST/2026-02-24 13_25_29.jpg,35,2,33,0.0,0.0,disabled,0.9240,0
2026-04-16 01:38:30,TEST/2026-02-24 13_35_30.jpg,36,2,34,0.0,0.0,disabled,0.9199,0
2026-04-16 01:38:30,TEST/2026-02-24 13_45_30.jpg,36,2,34,0.0,0.0,disabled,0.9202,0
2026-04-16 01:38:30,TEST/2026-02-24 13_55_30.jpg,37,2,35,0.0,0.0,disabled,0.9109,0
2026-04-16 01:38:30,TEST/2026-02-24 14_05_30.jpg,37,2,35,0.0,0.0,disabled,0.9121,0
2026-04-16 01:38:30,TEST/2026-02-24 14_15_31.jpg,35,2,33,0.0,0.0,disabled,0.9195,0
2026-04-16 01:38:31,TEST/2026-02-24 14_25_31.jpg,35,2,33,0.0,0.0,disabled,0.9210,0
2026-04-16 01:38:31,TEST/2026-02-24 14_35_31.jpg,32,2,30,0.0,0.0,disabled,0.9205,0
2026-04-16 01:38:31,TEST/2026-02-24 14_45_31.jpg,29,2,27,0.0,0.0,disabled,0.9187,0
2026-04-16 01:38:31,TEST/2026-02-24 14_55_32.jpg,29,2,27,0.0,0.0,disabled,0.9217,0
2026-04-16 01:38:31,TEST/2026-02-24 15_05_32.jpg,27,2,25,0.0,0.0,disabled,0.9147,0
2026-04-16 01:38:32,TEST/2026-02-24 15_15_32.jpg,26,2,24,0.0,0.0,disabled,0.9214,0
